food_name,Meal type,Category,Standalone dish,Veg/Non Veg,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg
Carrot kheer (Gajar ki kheer),Dessert,Lunch/Dinner,,,bowl,912.38,217.16,25.67,7.14,9.8,24.51,1.87,5498.28,2862.55,531.19,0,254.73,216.44,27.47,72.61,362.14,0.7,0.12,2.05,0.01,0.15,0.05,0.81,0,0.81,0.59,0,7.45,0,24.59,0.08,0.24,0.3,0.81,0.13,4.6,24.59,6.54
Cauliflower kheer (Phoolgobhi ki kheer),Dessert,Lunch/Dinner,,,bowl,1047.68,249.49,26.74,9.25,12.03,25.85,1.68,6863.5,3471.08,580.19,0,309.76,266.43,34.15,76.7,442.04,0.92,0.13,2.63,0.01,0.15,0.05,1,0,0.85,0.57,0,5.85,0,36.87,0.09,0.31,0.37,1.11,0.16,5.97,36.87,23.92
Moong dal kheer,Dessert,Lunch/Dinner,,,bowl,1314.53,312.82,40.11,11.97,12.06,32.1,1.6,6853.75,3466.52,573.89,0,306.77,309.96,48.29,66.23,500.94,1.14,0.26,9.96,0.01,0.21,0.21,1.26,0,0.87,0.35,0,1.36,0,32.3,0.13,0.3,0.52,1.11,0.13,5.08,32.3,5.06
Phirni,Dessert,Lunch/Dinner,,,bowl,1415.69,337,46.75,10.12,12.61,31.31,1.04,6894.25,3903.39,681.57,0,303.48,279.48,33.46,65.22,332.32,0.66,0.17,2.69,0.01,0.24,0.09,1.14,0,1.14,0.04,0,0.49,0,20.33,0.11,0.29,0.78,0.98,0.15,5.07,20.33,5.04
Semolina halwa (Suji ka halwa),Dessert,Lunch/Dinner,,,bowl,1500.79,360.18,39.37,3.45,21.36,22.31,2.96,11832.19,6235.31,1368.28,49.2,18.79,44.12,20.87,2.04,112.47,1.05,0.18,2.92,0,0.76,0.08,0.67,184.4,1.93,2.33,0,0.59,0,7.96,0.08,0.02,0.4,0.21,0.03,0.21,7.96,0.05
Shahi suji halwa,Dessert,Lunch/Dinner,,,bowl,1567.91,375.84,43.68,3.42,21.36,26.75,2.91,11831.36,6234.7,1366.18,49.2,18.32,43.15,20.53,2.15,98.13,0.97,0.18,2.89,0,0.76,0.06,0.67,184.4,1.93,2.31,0,0.57,0,7.46,0.08,0.02,0.39,0.21,0.03,0.2,7.46,0.02
Carrot halwa (Gajar ka halwa),Dessert,Lunch/Dinner,,,bowl,1212.2,289.71,31.1,5.22,16.33,28.28,4.45,9078.68,4720.35,1166.26,24.6,179.46,165.55,38.57,67.05,419.41,1.28,0.17,9.61,0.03,0.39,0.05,0.91,92.2,1.2,1.56,0,18.52,0,44.8,0.08,0.07,0.38,0.44,0.13,5.97,44.8,6.53
Egg halwa (Ande ka halwa),Dessert,Lunch/Dinner,,N,bowl,1218.28,289.25,38.2,7.58,12.94,36.53,0.47,5344.32,3286.96,852.52,197.76,34.52,93.51,7.66,80.14,114.86,1.39,0.06,20.28,0,0.2,0.01,0.67,154.32,1.1,0.22,0.42,0.03,7.3,24.67,0.03,0.1,0.06,0.74,0.08,9.14,24.67,0
Potato halwa (Aloo ka halwa),Dessert,Lunch/Dinner,,,bowl,1008.25,239.69,46.11,2.41,5.51,27.53,2.59,2491.94,1901.4,642.04,9.84,22.36,66.11,39.74,6.68,713.91,1,0.18,1.1,0,0.43,0.06,0.47,36.88,0.88,0.52,0,2.89,0,20.72,0.08,0.02,1.39,0.5,0.13,1.77,20.72,28.98
Pumpkin halwa (Kaddu ka halwa),Dessert,Lunch/Dinner,,,bowl,1241.57,295,42.8,2.06,13.66,41.3,4.61,7964.27,2791.15,727.62,14.76,37.74,54.42,30.01,12.54,365.06,0.98,0.23,3.06,0,0.48,0.09,0.39,55.32,2.13,1.68,0,84.23,0,27.9,0.04,0.04,0.58,0.22,0.1,1.82,27.9,8.08
Moong dal halwa,Dessert,Lunch/Dinner,,,bowl,1393.98,333.68,38.37,7.97,16.86,24.41,2.53,9905.66,4496.73,927.87,33.21,105.31,164.49,44.62,10.67,369.03,1.44,0.26,17.4,0.02,0.42,0.13,1,124.47,0.99,0.98,0,1.82,0,34.53,0.1,0.04,0.51,0.43,0.06,3.26,34.53,0.03
Caramel custard (steamed),Dessert,Lunch/Dinner,,,bowl,1188.3,282.06,34.84,11.53,11.3,34.76,0,5539.6,3561.6,783.04,183,204.43,237.66,19.07,101.08,244.28,1.19,0.11,21.64,0.01,0.03,0,1.14,99,1.09,0,0.42,0,7.3,35.21,0.08,0.26,0.18,1.25,0.14,12.09,35.21,3.02
Baked custard,Dessert,Lunch/Dinner,,,bowl,953.1,226.9,20.14,11.53,11.3,20.06,0,5539.6,3561.6,783.04,183,203.03,237.52,18.78,100.38,243.58,1.16,0.1,21.64,0.01,0.03,0,1.12,99,1.09,0,0.42,0,7.3,35.21,0.08,0.26,0.18,1.25,0.14,12.09,35.21,3.02
Soft Custard (stirred),Dessert,Lunch/Dinner,,,bowl,1145.4,272.41,27.92,12.51,12.64,27.83,0,6351.7,3925.8,824.44,183,239.08,266.55,21.77,304.82,278.83,1.22,0.11,21.93,0.01,0.03,0,1.23,99,1.15,0,0.42,0,7.3,37.31,0.08,0.29,0.2,1.35,0.15,12.68,37.31,3.62
