food_name,Meal type,Category,Standalone dish,Veg/Non Veg,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg
Jelly biscuit,Snack,Lunch/Dinner,,,biscuit,303.54,72.45,9.89,0.76,3.46,5.33,0.36,2037.7,917.22,236.06,8,6.53,32.58,5.26,19.8,21.14,0.21,0.02,0.12,0,0.15,0,0.13,35.92,0.1,0.17,0,0.3,0,1.69,0.04,0.01,0.05,0.05,0.02,0.76,1.69,0.03
Cherry and walnut cookies,Snack,Lunch/Dinner,,,cookies,311.47,74.27,10.43,0.99,3.3,5.34,0.23,1436.39,763.79,853,10.57,8.13,27.62,5.35,20.14,22.01,0.23,0.04,0.69,0,0.09,0.01,0.12,26.79,0.14,1.11,0.01,1.65,0.21,2.49,0.02,0.01,0.06,0.07,0.02,0.51,2.49,0
Cheese straws,Snack,Lunch/Dinner,,,straw,153.04,36.85,2.95,0.95,2.34,0.17,0.12,1360.08,643.13,123.97,19.48,15.5,35.09,2.04,56.67,11.95,0.12,0.01,0.77,0,0.03,0,0.11,29.98,0.09,0.27,0.04,0.31,0.58,2.35,0.01,0.01,0.04,0.08,0.01,0.97,2.35,0
Butterfly biscuit,Snack,Lunch/Dinner,,,biscuit,172.27,41.48,3.08,1.21,2.69,0.3,0.12,1572.92,737.55,136.07,20.54,24.6,45.9,2.49,69.49,15.62,0.13,0.01,0.84,0,0.03,0,0.15,33.36,0.1,0.27,0.04,0.33,0.58,2.63,0.01,0.01,0.04,0.09,0.01,1.07,2.63,0.03
Flan pastry,Dessert,Lunch/Dinner,,,pastry,967.29,232.93,25,3.51,13.08,3.25,0.83,8014.67,3353.05,592.16,53.47,11.41,47.46,10.01,100.96,51.16,0.6,0.06,1.03,0,0.19,0.01,0.31,154.48,0.35,2.02,0.06,1.41,0.9,7.11,0.05,0.03,0.24,0.28,0.03,1.51,7.11,0
Fruit flan,Dessert,Lunch/Dinner,,,flan,5061.01,1215.94,161.5,15.35,58.08,44.28,3.31,35704.91,14934.46,2561.39,230.38,89.68,230.39,52.37,511.94,343.52,2.85,0.24,4.12,0.01,0.76,0.01,1.46,705.22,1.55,8.08,0.26,5.64,3.61,33.99,0.21,0.2,1.21,1.26,0.16,7.07,33.99,3.3
Orange cream flan,Dessert,Lunch/Dinner,,,flan,4742.08,1132.77,146.15,19.14,54.91,102.13,2.56,31699.88,15034.03,2941.67,483.15,112.77,402.07,39.5,333.05,395.86,3.77,0.26,40.63,0.01,0.32,0.01,1.91,724.9,2.59,3.38,0.84,7.08,14.61,76.78,0.2,0.28,0.74,2.03,0.24,21.56,76.78,43.79
Fruit puree tart,Dessert,Lunch/Dinner,,,tart,662.18,159.4,16.92,1.86,9.36,5.45,0.73,5827.79,2458.95,375.17,23.85,10.93,25,7.17,27.62,52.33,0.35,0.05,0.08,0,0.12,0.22,0.18,101.78,0.28,1.22,0,1.27,0,6.05,0.03,0.03,0.18,0.16,0.03,0.37,6.05,2.6
Apple banana pie,Dessert,Lunch/Dinner,,,pie,3954.06,948.46,124.84,12.16,44.29,50.4,7.34,24197.97,11769.03,4768.68,95.85,82.53,172.67,83.64,1494.38,560.87,3.07,0.41,0.99,0.02,1.18,0.93,1.35,431.1,2.42,10.04,0,13.82,0,31.98,0.2,0.13,1.4,1.02,0.41,2.54,31.98,8.88
Lemon chiffon pie,Dessert,Lunch/Dinner,,,pie,5788.75,1389.91,148.12,26.15,77.8,61.03,3.52,47458.76,20440.85,3475.3,376.8,184.54,338.62,58.22,508.91,421.3,3.29,0.32,20.94,0.01,0.78,0.01,2.18,1023,2.5,8.51,0.42,6.2,7.3,51.7,0.26,0.44,1.13,2.03,0.22,13.45,51.7,7.18
Orange chiffon pie,Dessert,Lunch/Dinner,,,pie,6040.73,1449.87,161.61,27.15,77.94,73.03,4.86,47490.94,20457.94,3525.23,376.8,211.93,364.01,77.01,511.5,704.58,4.37,0.35,21.02,0.02,0.86,0.02,2.2,1023,2.75,8.51,0.42,8.78,7.3,91.24,0.38,0.47,1.56,2.4,0.29,17.5,91.24,84.88
Cream buns,Snack,Lunch/Dinner,,,bun,746.16,179.67,11.79,3.71,13.17,4.96,0.26,7964.58,3544.3,579.13,78.22,37.7,60.11,7.06,37.88,66.24,0.41,0.03,5.07,0,0.06,0,0.34,183.9,0.48,0.63,0.1,0.65,1.83,9.28,0.03,0.09,0.12,0.35,0.04,3.21,9.28,0.33
Savoury puffs,Snack,Lunch/Dinner,,,puff,1097.92,264,14.95,13.16,21.09,6.24,0.46,9891.32,4515.18,772.94,97.87,95.25,169.85,24.11,3146.98,250.4,1.65,0.13,10,0,0.14,0.01,0.87,204.8,0.64,0.83,0.45,2.43,8.78,15.04,0.07,0.14,2.17,0.74,0.18,4.82,15.04,1.49
Choux swans,Snack,Lunch/Dinner,,,swan,1538.49,370.29,25.54,7.45,26.71,10.49,0.6,16166.89,7191.04,1171.34,157.82,76.46,121.51,14.85,248.33,138.71,0.87,0.06,10.14,0,0.13,0.01,0.69,375.08,0.97,1.32,0.21,1.85,3.65,18.67,0.06,0.19,0.24,0.7,0.08,6.5,18.67,4.27
Potato aigrettes,Snack,Lunch/Dinner,,,aigrette,903.65,219.41,3.31,0.97,22.45,0.3,0.19,3831.03,4770.26,12796.37,20.57,3.81,13.95,2.87,46.55,38.84,0.19,0.02,1.73,0,0.03,0,0.1,32.2,9.96,0.23,0.04,1.65,0.61,3.35,0.01,0.01,0.08,0.1,0.01,0.85,3.35,1.16
Cream horns,Snack,Lunch/Dinner,,,horn,1943.09,469.97,26.61,3.94,38.62,8.2,0.69,23521.29,10699.18,1523.15,107.16,35.61,61.67,11.07,65.75,84,0.51,0.05,1.01,0,0.16,0.01,0.35,375.02,1.78,1.68,0.02,0.25,0.37,8.8,0.05,0.1,0.2,0.33,0.04,1.3,8.8,0.5
Savoury cheese horns,Snack,Lunch/Dinner,,,horn,904.82,218.16,15.8,4.18,15.3,2.03,0.54,9143.57,4032.67,737.78,37.42,90.05,109.54,10.55,156.91,77.82,0.46,0.04,0.82,0,0.13,0.02,0.48,136.21,0.83,1.22,0,4.74,0,8.51,0.04,0.06,0.16,0.26,0.03,1.27,8.51,2.31
Paneer patties,Snack,Lunch/Dinner,,,patty,1413.82,340.99,22.96,7.65,24.13,4.07,1.18,13368.75,6293.46,2345.07,45.51,130.83,117.54,18.42,159.57,93.67,0.79,0.09,5.85,0.03,0.28,0.02,0.96,170.57,2.1,2.77,0,3.35,0,31.26,0.05,0.05,0.32,0.35,0.05,5.75,31.26,3.3
Vegetable patties,Snack,Lunch/Dinner,,,patty,1255.17,303.07,24.27,4.64,20.53,1.73,3.04,11172.93,5227.69,2286.07,45.51,21.94,54.87,23.86,161.44,208.99,1,0.12,0.49,0,0.37,0.04,0.55,170.57,2.17,5.47,0,14.24,0,22.85,0.11,0.03,0.67,0.43,0.1,1.59,22.85,13.92
Pearl millet infant food (Bajra shishu aahaar),Baby Food,Breakfast,,,,758.25,181.22,31.05,5.99,3.31,13.03,3.92,574.43,1077.76,1209.69,0,59.26,139.2,71.78,6.33,301.48,2.83,0.28,11.85,0.01,0.51,0.22,1.14,0,0.22,3.15,0,4.11,0,24.14,0.11,0.06,0.74,0.34,0.2,0.41,24.14,0
Sajina,Baby Food,Breakfast,,,,722.3,172.63,33.43,5.41,1.52,12.95,3.81,253.83,268.59,554.36,0,27.2,125.03,63.75,5.85,291.25,2.69,0.24,12.61,0.01,0.49,0.11,1.01,0,0.09,1.69,0,1.54,0,20.4,0.1,0.06,0.4,0.33,0.19,0.31,20.4,0
Cereal mix,Baby Food,Breakfast,,,,631.85,151.01,27.3,4.15,2.52,13.35,2.54,480.28,998.73,823.47,0,26.75,76.91,40.96,11.61,223.98,1.47,0.16,4.16,0,0.44,0.11,0.66,0,0.27,0.69,0,2.26,0,23.98,0.09,0.03,1.05,0.3,0.17,0.42,23.98,0.62
Pulse mix,Baby Food,Breakfast,,,,464.67,111.06,21.33,4.21,0.73,8.78,3,77.46,108.4,336.31,0,19.9,81.79,38.29,5.17,201.8,1.72,0.17,12.06,0,0.58,0.05,0.82,0,0.05,1.61,0,0.42,0,24.23,0.09,0.04,0.49,0.31,0.12,0.26,24.23,0
Shishu ahar,Baby Food,Breakfast,,,,522.27,124.49,23.22,3.48,1.91,8.82,1.36,325.3,686.04,582.08,0,18.38,55.42,30.81,3.57,109.9,1.36,0.09,0.38,0.01,0.36,0.05,0.44,0,0.32,0.28,0,0.81,0,17.34,0.07,0.02,0.76,0.19,0.12,0.84,17.34,0
Cereal pulse mix with amylase rice flour,Baby Food,Breakfast,,,,541.47,128.84,23.63,3.63,2.33,7.51,2.95,281.87,438.8,1390.07,0,10.72,77.73,29.27,0.87,82.33,1.01,0.12,10.89,0,0.71,0.01,0.68,0,1.04,2.69,0,1,0,18.71,0.11,0.04,0.6,0.26,0.08,0.71,18.71,0
Banana groundnut paste/puree,Baby Food,Breakfast,,,,892,213.19,36.15,4.27,5.45,31.67,1.7,1680.27,2208.71,1249.33,0,74.93,96.68,65.75,16.85,357.4,1.9,0.16,0.63,0.01,0.49,0.11,0.6,0,0.53,0.91,0,0.91,0,20.9,0.08,0.06,1.31,0.38,0.4,1.39,20.9,3.02
Rice dal porridge (Chawal dal ki khichdi/khichri),Baby Food,Breakfast,,,,534.63,127.78,21.68,3.6,2.78,8.85,1.5,578.09,1237.38,822.18,0,16.82,66.05,33.36,4.11,155.27,0.92,0.14,2.06,0,0.32,0.11,0.48,0,0.31,0.59,0,0.64,0,11.87,0.08,0.02,1.15,0.22,0.12,0.23,11.87,0
Lentils and semolina porridge (Dal suji porridge/daliya),Baby Food,Breakfast,,,,981.5,234.58,46.38,6.52,2.12,27.68,2.88,1146.04,509.15,183.53,0,89.49,126.38,60.89,19.27,376,2.44,0.22,7.58,0.01,0.71,0.18,0.94,0,0.16,1.98,0,1.07,0,21.48,0.12,0.07,0.45,0.52,0.27,1.12,21.48,0.8
Spinach khichri (Palak khichri/khichdi),Baby Food,Breakfast,,,,640.72,153.52,26.07,5.15,2.87,0.31,2.34,386.67,542.93,1732.75,0,15.67,90.26,34.94,104.56,256.72,0.97,0.21,6.77,0,0.43,0.11,0.63,0,1.41,0.28,0,34.07,0,28.15,0.1,0.04,0.89,0.37,0.09,0.57,28.15,3.03
Vegetable mix,Baby Food,Breakfast,,,,729.4,174.21,36.02,4.7,0.94,27.36,1.93,463.25,177.23,165.23,2.2,90.06,114.21,68.98,34.94,527.2,2.27,0.16,5.8,0.01,0.48,0.17,0.65,5.6,0.21,0.55,0,35.59,0,36.84,0.09,0.08,0.49,0.47,0.3,1.59,36.84,8.48
Lentils and wheat porridge (Dal wheat porridge/daliya),Baby Food,Breakfast,,,,374.24,89.44,14.24,4.62,1.6,1.56,2.19,836.8,367.79,94.8,0,44.74,70.57,18.17,106.9,161.52,0.89,0.11,5.3,0,0.1,0.08,0.35,0,0.09,0.2,0,0.83,0,11.32,0.04,0.05,0.21,0.27,0.03,0.66,11.32,0.6
Maize porridge,Baby Food,Breakfast,,,,635.47,152.27,26.59,3.64,3.21,13.07,2.86,397.46,634.33,1883.06,0,28.94,79.54,53.3,9.5,238.3,1.89,0.17,5.23,0.01,0.41,0.06,0.72,0,1.43,5.23,0,33.31,0,23.98,0.1,0.04,0.58,0.21,0.19,0.67,23.98,3.03
Spinach peanut burfi (Palak aur mungfali ki burfi),Snack,Lunch/Dinner,,,,1066,252.89,32.62,8.05,10.55,27.59,4.98,2219,4627.08,3191,0,98.29,130.59,136.72,46.85,796,3.86,0.43,2.94,0.03,1.52,0.12,1.28,0,2.36,2.03,0,325.63,0,164.72,0.3,0.13,3.17,0.47,0.21,4.54,164.72,30.28
Split bengal gram burfi/fudge (Channa dal burfi),Dessert,Lunch/Dinner,,,piece,744.58,176.01,33.46,2.85,4.34,26.57,1.26,2269.52,1090.59,525.41,9.23,10.07,27.87,8.36,1.55,39.79,0.38,0.06,0.5,0,0.21,0,0.21,34.58,0.53,0,0,1.14,0,24.28,0.06,0.02,0.24,0.16,0.06,1.07,24.28,0.6
Chickpea flour cookies (Sweet besan rounds/cookies),Snack,Lunch/Dinner,,,piece,216.93,51.75,9.91,1.07,0.86,7.67,0.64,399.54,201.71,153.02,1.54,13.74,17.46,13.43,5.57,70.9,0.54,0.02,0.16,0,0.14,0,0.11,5.76,0.15,0.13,0,1.48,0,10,0.02,0.01,0.09,0.09,0.09,0.46,10,0.39
Pearl millet mathri (Bajra mathri),Snack,Lunch/Dinner,,,piece,4851.52,1178.6,11.14,2.74,124.79,0.24,2.04,16882.78,25819.47,76558.4,9.84,6.95,49.33,19.32,49.8,63.56,1.08,0.1,4.04,0,0.24,0.03,0.44,36.88,59.48,0.71,0,8.45,0,16.09,0.06,0.04,0.22,0.14,0.06,0.58,16.09,0
Sesame biscuit (Til ke biscuit),Snack,Lunch/Dinner,,,biscuit,256.98,61.66,7.8,1.2,2.81,4.32,0.99,1149.01,856.47,582.51,4.1,43.34,56.74,21.97,26.5,54.32,0.83,0.07,3.32,0,0.24,0.02,0.37,15.37,0.14,2.26,0,2.73,0,5.46,0.03,0.01,0.24,0.07,0.06,0.15,5.46,0
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),Snack,Lunch/Dinner,,,vada,2440.35,592.64,7.82,3.65,60.55,0.32,2.39,7280.27,12385.99,38260.9,0,18.47,57.38,33.24,57.56,241.06,1.25,0.14,5.89,0.01,0.38,0.03,0.57,0,29.72,0.81,0,45.25,0,38.78,0.06,0.03,0.32,0.38,0.05,0.7,38.78,3.95
Poshtik namak paras,Snack,Lunch/Dinner,,,piece,326.94,79.13,2.52,0.84,7.3,0.11,0.59,1258.48,1637.63,4046.06,1.85,7.84,16.79,7.87,5.68,26.3,0.26,0.03,1.53,0,0.13,0.01,0.15,6.91,3.09,0.63,0,5.01,0,6.09,0.02,0.01,0.19,0.05,0.02,0.2,6.09,0.38
Soya chikki,Snack,Lunch/Dinner,,,piece,1327.75,318.83,47.32,5.41,11.67,34.22,2.67,6059.53,2885.5,1293.57,24.61,61.14,112.19,77.48,12.97,402.4,3.37,0.2,5.45,0.01,0.68,0.04,0.9,92.2,0.83,0.36,0,1.51,0,36.21,0.08,0.04,0.5,0.38,0.33,1.14,36.21,0
Besan bathua chilla/cheela,Snack,Lunch/Dinner,,,cheela,470.15,112.61,12.24,3.46,5.6,0.44,2.35,3008.6,1401.33,593.15,12.3,19.51,55.38,21.22,50.12,82.81,0.81,0.08,5.78,0,0.54,0.01,0.48,46.1,0.58,1.39,0,12.24,0,24.35,0.09,0.06,0.45,0.23,0.08,0.98,24.35,2.05
Wheat flour and nuts ladoos (Atta nuts ladoos),Snack,Lunch/Dinner,,,ladoo,592.06,142.06,16.06,3.43,6.96,5.78,2.65,2793.93,2307.4,1328.49,9.23,46.14,90.31,45.09,2.93,122.6,1.45,0.16,8.81,0,0.62,0.06,0.81,34.58,0.5,3.97,0,3,0,13.1,0.1,0.03,1.02,0.21,0.11,0.32,13.1,0
Gram flour and semolina dhokla (Besan suji dhokla),Snack,Breakfast/Lunch/Dinner,,,piece,824.54,196.5,25.6,8.41,7.01,2.55,4.53,1042.98,1425.87,3999.6,1.38,65.86,154.69,37.71,194.21,259.22,1.58,0.17,3.02,0.01,0.85,0.04,0.87,3.5,3.31,1.27,0,47.08,0,76.09,0.18,0.1,0.77,0.54,0.18,3.38,76.09,6.55
Atta dal burfi,Dessert,Lunch/Dinner,,,piece,484.46,115.78,15.75,2.58,4.83,8.17,1.58,2422.15,1435.14,542.95,9.23,6.61,54.27,22.2,1.38,104.08,0.61,0.12,6.58,0,0.31,0.07,0.43,34.58,0.35,1.29,0,0.59,0,9.07,0.06,0.02,0.55,0.17,0.03,0.13,9.07,0
Soya roti,Bread,Lunch/Dinner,,,roti,595.83,142.93,20.15,4.62,4.64,0.8,4.38,581.63,866.09,2763.95,0.01,26.89,121.61,57.64,78.49,242.26,1.94,0.21,16.45,0.01,1.13,0.01,1.06,0,2.04,4.06,0,45.01,0,35.91,0.16,0.07,0.84,0.35,0.11,1.25,35.91,4.04
Poshtik khichdi/khichri,Baby Food,Breakfast,,,plate,1405.93,336.43,56.35,10.97,6.79,0.94,7.19,1105.65,2016.69,3144.16,0,109.57,189.21,99.91,150.16,502.76,3.61,0.42,16.67,0.01,1.37,0.19,1.84,0,1.84,5.92,0,96.84,0,65.43,0.2,0.14,2.84,0.79,0.25,1.24,65.43,25.77
Namkeen daliya,Snack,Breakfast,,,plate,1442.8,346.14,57.85,9.72,9.37,0.96,10.05,1022.1,1725.93,5330.35,0,42.21,7.19,5.09,175.51,60.43,3.51,0.02,0.03,0,0.05,0.01,0.07,0,4.16,3.02,0,7.15,0,6.32,0.01,0.01,0.18,0.07,0.03,0.49,6.32,6.88
Sprouts upma,Snack,Breakfast,,,plate,1256.97,301.49,42.86,9.06,9.95,1.59,6.83,1427.44,2690.53,5263.05,0,35.07,107.67,42.04,140.92,237.36,2.63,0.35,7.13,0,1.34,0.11,1.58,0,3.71,7,0,5.16,0,26.63,0.23,0.05,1.53,0.57,0.11,0.4,26.63,0.48
Semolina idli (Suji/Rava idli),Snack,Breakfast,,,idli,256.08,61.14,9.98,2.77,1.03,1.01,1.73,312.5,335.9,269.89,1.03,29.88,57.23,15.91,54.81,122.6,0.69,0.09,2.84,0,0.34,0.02,0.47,2.63,0.15,1.07,0,16.49,0,17.37,0.06,0.04,0.35,0.2,0.04,0.54,17.37,1.61
Poshtik chilla/cheela,Snack,Breakfast,,,cheela,481.57,115.37,19.86,3.51,2.2,0.88,3.55,277.4,400.41,1309.97,0,13.15,99.96,40.23,70.28,109.01,1.52,0.15,15.95,0,0.92,0.01,0.9,0,0.9,4.08,0,2.62,0,11.79,0.14,0.05,0.77,0.3,0.09,0.34,11.79,0.58
Stuffed bittergourd (dry) (Bharwa karela),Side Dish,Lunch/Dinner,,,bowl,950.74,230.9,2.64,1.37,23.75,0.07,3.18,2941.77,4825.04,14932.6,0,17.74,38.17,29.82,550.91,301.49,1.36,0.09,4.21,0.01,0.46,0.1,0.37,0,11.61,1.56,0,5.3,0,48.09,0.05,0.03,0.25,0.22,0.04,5.48,48.09,43.5
Cauliflower potato canjee,Side Dish,Lunch/Dinner,,,glass,148.87,35.58,5.58,1.21,0.83,0.28,1.45,71.27,361.95,234.18,0,14.36,34.53,16.55,75.39,248.51,0.59,0.05,1.52,0,0.16,0.01,0.22,0,0.05,0.81,0,3.32,0,14.43,0.04,0.02,0.47,0.24,0.06,0.89,14.43,15.57
Creamed spinach,Side Dish,Lunch/Dinner,,,small bowl,1555.57,373.69,17.13,19.99,24.64,6.13,5.12,13527.09,6796.58,1845.39,229.8,471.59,478.99,198.69,601.6,1485.92,7.29,0.42,26.69,0.06,2.35,0.04,2.68,275.8,3.87,1.26,0.42,651.75,7.3,320.46,0.41,0.47,0.89,1.7,0.44,20.75,320.46,62.17
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),Beverage,Breakfast,,,tall glass,977.65,232.39,31.21,6.56,9.51,30.96,0.78,5719.1,2558.3,349.2,4.41,235.81,191.14,22.49,56.56,289.8,0.51,0.12,2.62,0.02,0.11,0,0.7,13.65,0.58,1.48,0,1.91,0,46.37,0.08,0.26,0.28,0.82,0.13,4.53,46.37,16.96
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),Beverage,Breakfast,,,tall glass,979.65,232.87,31.71,6.56,9.36,31.28,1.41,5671.54,2517.16,315.5,4.41,233.85,192.13,22.23,56.6,289.4,0.42,0.1,1.89,0.01,0.53,0,0.69,13.65,0.65,0.08,0,0.96,0,20.84,0.09,0.25,0.22,0.82,0.13,4.31,20.84,18.32
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),Beverage,Breakfast,,,tall glass,970.05,230.57,31.11,6.63,9.35,30.6,0.55,5665.94,2512.4,315.45,4.41,237.31,191.87,21.57,56.62,297.8,0.63,0.09,1.94,0.01,0.03,0,0.67,13.65,0.49,0.14,0,1,0,21.34,0.1,0.25,0.29,0.85,0.09,5.05,21.34,20.86
Woodapple juice (Bel ka sharbat),Beverage,Breakfast,,,glass,507.68,120.07,22.87,2.21,2.46,20.21,3.62,600.47,398.3,976.73,0,41.63,58.63,18.38,447.77,252.46,0.44,0.16,1.68,0,0.23,0,0.24,0,0.06,19.25,0,5.68,0,5.65,0.03,0.01,0.39,0.17,0.12,1.13,5.65,18.36
Sattu drink,Beverage,Breakfast,,,glass,528.78,124.87,27.54,3.02,0.74,21.14,2.12,65.66,122.64,346.64,0,8.48,45.7,16.92,67.55,134.98,0.89,0.14,7.14,0,0.24,0.02,0.53,0,0.03,0.25,0,0.21,0,25.48,0.05,0.02,0.26,0.22,0.03,0.11,25.48,0
Apple and honey sorbet (Seb aur shehad ka sharbat),Dessert,Lunch/Dinner,,,cup,836.27,196.96,49.92,0.25,0.47,47.38,1.84,116.65,36.24,207.37,0,14.8,8.78,6.96,3.2,91.6,0.29,0.07,0.42,0,0.04,0.1,0.12,0,0.11,1.03,0,2.59,0,2.68,0.02,0.01,0.19,0.07,0.03,0.24,2.68,5.08
Thandai,Beverage,Breakfast,,,glass,1076.12,256.45,23.15,9.1,14.92,20.8,2.02,5741.15,5017.62,1855.82,0,284.68,249.36,64.84,57.51,357.38,1.53,0.3,2.69,0.01,0.95,0.04,1.22,0,1.92,1.37,0,3.48,0,18.19,0.12,0.22,0.57,0.7,0.1,4.02,18.19,3.66
Cucumber sharbat (Kheere ka sharbat),Beverage,Breakfast,,,glass,475.8,112.14,27.27,1.07,0.24,22.45,3.21,96.25,15.85,101.89,0,26.68,42.72,30.99,10.55,275.55,0.73,0.09,0.25,0.01,0.12,0,0.28,0,0.03,1.89,0,12.3,0,25.26,0.03,0.01,0.52,0.68,0.09,4.23,25.26,9.16
Apple oats chia seed smoothie,Beverage,Breakfast,,,glass,2272.72,538.28,82.15,21.94,15.56,36.21,9.08,5811.41,4325.14,4348.55,27.13,558.66,698.87,147.99,201.25,1063.76,3.11,0.34,8.96,0.01,2.39,0.84,3.56,68.6,0.61,1.17,0,3.53,0,71.4,0.9,0.72,1.41,1.74,0.51,17.76,71.4,5.39
Nannari sharbat,Beverage,Breakfast,,,cup,4221,990.01,263.41,0.12,0.11,262.97,0,35.2,4.74,50.3,0,29.82,4.99,6.79,12.92,37.3,0.56,0.3,0.15,0,0,0.01,0.27,0,0.01,0.04,0,0.18,0,2.29,0.01,0,0.02,0.03,0.01,0.19,2.29,9.92
Semolina milk drink (Thari kanji),Beverage,Breakfast,,,cup,487.66,116.35,18.25,2.59,3.59,10.23,1.9,1070.87,1727.6,512.2,2.46,21.77,63.19,30.5,31.48,222.81,0.96,0.22,1.94,0,0.43,0.01,0.66,9.22,0.26,1.07,0,0.87,0,11.86,0.08,0.04,0.42,0.25,0.09,0.79,11.86,6.58
Saffron milk (Kesariya doodh),Beverage,Breakfast,,,glass,1129.6,268.47,33.22,8.33,12,32.85,0.38,6598.72,3661.25,632.55,0,291.32,243.62,27.7,62.25,301.2,0.54,0.12,2.46,0.01,0.22,0.01,0.9,0,1.2,0.21,0,0.3,0,17.96,0.08,0.27,0.26,0.83,0.11,4.9,17.96,4.84
Black rice kheer (Chak-hao kheer),Dessert,Lunch/Dinner,,,bowl,1290.65,307.22,47.62,9.07,10.19,26.1,1.59,4629.74,1943.89,221.77,0,197.06,154.88,14.13,53.51,216.69,0.96,0.07,1.54,0.01,0.08,0,0.55,0,0.35,0.07,0,0.01,0,11.25,0.05,0.18,0.13,0.54,0.06,3.18,11.25,3.22
Coconut kheer (Nariyal ki kheer),Dessert,Lunch/Dinner,,,bowl,4442.1,1057.59,93.8,22.1,68.59,89.3,9.98,33577.16,14776.56,3589.1,20.95,582.21,542.36,151.25,299,1223.78,3.43,0.63,4.57,0.02,1.19,0.04,2.5,78.74,7.47,0.51,0,15.52,0,49.34,0.2,0.63,1.3,1.66,0.27,8.54,49.34,12.21
Apple sago payasam (Seb aur sabudana ki kheer),Dessert,Lunch/Dinner,,,bowl,1893.61,451.91,47.68,10.36,25.36,35.2,1.26,13265.42,8361.71,1675.52,35.93,338.03,310.87,55.65,130.6,429.21,1.04,0.22,3.78,0.01,0.39,0.23,1.4,135.15,2.03,0.76,0,1.27,0,21.45,0.13,0.39,0.49,1.05,0.12,5.35,21.45,5.88
Kesari bath,Dessert,Lunch/Dinner,,,bowl,1806.48,432.24,55.46,4.23,22.24,35.63,2.92,12143.83,6712.23,1418.96,49.2,13.6,61.29,28.3,3.01,116.08,1.23,0.29,3.77,0,0.65,0.01,0.92,184.4,1.3,2.49,0,0.44,0,8.55,0.11,0.01,0.37,0.29,0.04,0.27,8.55,0
Putharekulu,Dessert,Lunch/Dinner,,,roll,713.79,170.29,31.89,1.96,4.04,12.77,0.94,2374.3,1049.67,236.4,9.84,3.27,35.12,6.92,1.43,36.1,0.2,0.08,0.3,0,0.2,0.01,0.28,36.88,0.25,0,0,0.38,0,2.44,0.04,0.01,0.63,0.14,0.05,0.08,2.44,0
Mango malpua,Dessert,Lunch/Dinner,,,piece,5428.67,1314.71,50.45,6.48,120.5,19.48,8.18,71474.63,31384.13,6144.19,295.48,41.81,180.97,79.9,7.42,350.74,2.73,0.38,28.38,0.03,1.78,0.01,1.7,1107.1,7.84,10.83,0,7.24,0,110.67,0.25,0.14,1.5,0.59,0.28,2.43,110.67,38.05
Mango vanilla custard,Dessert,Lunch/Dinner,,,glass,1261.64,300.06,37.41,6.97,14.32,29.72,2.02,5783.08,5605.62,1683.5,0.72,172.47,190.24,51.03,61.22,326.2,1.18,0.28,3.15,0.01,0.36,0.03,0.96,1.8,3.69,1.71,0,3.66,0,49.19,0.11,0.17,0.49,0.56,0.16,4.14,49.19,16.05
Kiwi granola pudding,Dessert,Lunch/Dinner,,,bowl,6196.23,1472.38,169.42,29.35,80.48,79,19.44,29701.95,19279.93,8004.59,106.2,325.94,675.03,189.34,310.28,1438.54,7.62,0.87,19.65,0,4.14,0.05,4.25,210.6,5.34,1.24,1.98,3.5,0,207.15,1.93,2.24,9.49,1.91,0.5,15.9,207.15,65.34
Oats burfi,Snack,Lunch/Dinner,,,piece,1080.77,256.18,37.64,5.35,10.4,19.84,2.99,3079.11,4722.23,1963.33,6.22,77.47,166.4,57.91,4.91,189.65,1.48,0.2,4.42,0.01,1.21,0.02,1.04,23.05,2.24,0.24,0,0.65,0,17.81,0.28,0.04,0.51,0.27,0.1,6.47,17.81,0.06
Lotus seed halwa (Kamal gattay ka halwa),Dessert,Lunch/Dinner,,,piece,5590.46,1343.24,143.41,28.24,74.99,35.51,1.53,40028.29,21763.08,6589,164,300.29,1103.21,383.38,11.08,2387.13,6.52,0.75,0.74,0,4.11,0.01,2.18,614.67,7.41,0.21,0,1.48,0,179.08,1.12,0.27,3.01,1.5,1.1,0.69,179.08,0.06
